Corporate investor R & D intensity,0.58 **,0.58 **,0.57 **,0.58 **,0.57 **,-0.11,-0.13,-0.12,-0.12,-0.12
,( 0.24 ),( 0.24 ),( 0.24 ),( 0.24 ),( 0.24 ),( 0.41 ),( 0.41 ),( 0.41 ),( 0.41 ),( 0.41 )
Corporate investor patent infringement,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00
,( 0.00 ),( 0.00 ),( 0.00 ),( 0.00 ),( 0.00 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 )
Corporate investor size,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
,( 0.04 ),( 0.05 ),( 0.05 ),( 0.04 ),( 0.04 ),( 0.10 ),( 0.10 ),( 0.10 ),( 0.10 ),( 0.10 )
Corporate investor cash,0.09 **,0.10 ***,0.09 **,0.09 **,0.09 **,0.02,0.03,0.03,0.02,0.02
,( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 )
Corporate investor financial orientation,-0.34 **,-0.34 **,-0.33 **,-0.34 **,-0.33 **,-0.61 **,-0.62 **,-0.62 **,-0.63 **,-0.62 **
,( 0.14 ),( 0.14 ),( 0.14 ),( 0.14 ),( 0.14 ),( 0.27 ),( 0.27 ),( 0.27 ),( 0.27 ),( 0.27 )
Corporate investor strategic orientation,3.02 ***,2.99 ***,2.99 ***,3.01 ***,3.02 ***,-1.25,-1.21,-1.25,-1.24,-1.23
,( 0.69 ),( 0.70 ),( 0.70 ),( 0.69 ),( 0.69 ),( 1.46 ),( 1.47 ),( 1.47 ),( 1.47 ),( 1.46 )
Technological overlap between venture,0.63 ***,0.68 ***,0.67 ***,0.66 ***,0.66 ***,0.25 *,0.31 **,0.30 **,0.28 **,0.28 **
and corporate investor,( 0.12 ),( 0.12 ),( 0.12 ),( 0.12 ),( 0.12 ),( 0.14 ),( 0.14 ),( 0.14 ),( 0.14 ),( 0.14 )
Cross - citation between venture and,1.77 ***,1.66 ***,1.67 ***,1.70 ***,1.69 ***,1.68 ***,1.56 **,1.54 **,1.57 **,1.57 **
corporate investor,( 0.59 ),( 0.61 ),( 0.61 ),( 0.61 ),( 0.59 ),( 0.61 ),( 0.64 ),( 0.64 ),( 0.64 ),( 0.62 )
Geographic distance between venture and,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
corporate investor,( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 )
